name,crunchlink,category,country,state,city,round,date,year,money,
3-V Biosciences,/organization/3-v-biosciences,Biotechnology,USA,CA,Menlo Park,C,2013-06-21,2013,"20,000,000"
3-V Biosciences,/organization/3-v-biosciences,Biotechnology,USA,CA,Menlo Park,D,2014-12-30,2014,"28,500,000"
3-V Biosciences,/organization/3-v-biosciences,Biotechnology,USA,CA,Menlo Park,venture,2015-03-17,2015,"14,278,567"
33Across,/organization/33across,Advertising,USA,NY,New York,venture,2009-02-06,2009,"1,520,000"
33Across,/organization/33across,Advertising,USA,NY,New York,seed,2009-03-13,2009,"750,000"
33Across,/organization/33across,Advertising,USA,NY,New York,A,2010-04-22,2010,"1,284,560"
33Across,/organization/33across,Advertising,USA,NY,New York,B,2011-01-05,2011,"9,000,000"
33Across,/organization/33across,Advertising,USA,NY,New York,C,2012-07-19,2012,"13,100,000"
"360fly, Inc.",/organization/360fly-inc,Consumer Electronics,USA,PA,Pittsburgh,B,2014-08-11,2014,"17,800,000"
360imaging,/organization/360imaging,Biotechnology,USA,GA,Atlanta,A,2011-11-01,2011,"500,000"
360imaging,/organization/360imaging,Biotechnology,USA,GA,Atlanta,A,2013-01-01,2013,"500,000"
360incentives.com,/organization/360incentives-com,Software,CAN,ON,Whitby,venture,2013-01-15,2013,"7,650,000"
360pi,/organization/gazaro,Artificial Intelligence,CAN,ON,Ottawa,venture,2013-08-18,2013,"4,100,000"
365 Data Centers,/organization/365-data-centers,Data Centers,USA,CA,Emeryville,B,2014-09-10,2014,"16,000,000"
38 Zeros,/organization/38-zeros,Software,USA,OR,Portland,venture,2015-03-11,2015,"800,000"
3ClickEMR Corporation,/organization/3clickemr-corporation,Electronic Health Records,USA,MA,West Roxbury,seed,2010-06-23,2010,"250,000"
3ClickEMR Corporation,/organization/3clickemr-corporation,Electronic Health Records,USA,MA,West Roxbury,angel,2011-06-01,2011,"250,000"
3CLogic,/organization/3clogic,Customer Service,USA,MD,Rockville,B,2014-03-04,2014,"4,200,000"
3CLogic,/organization/3clogic,Customer Service,USA,MD,Rockville,venture,2014-12-18,2014,"2,222,190"
3D Biomatrix,/organization/3d-biomatrix,Biotechnology,USA,MI,Ann Arbor,seed,2013-02-05,2013,"1,465,000"
3D Data,/organization/3d-data,Sensors,USA,MA,Quincy,venture,2015-02-19,2015,"250,000"
3D Eye Solutions,/organization/3d-eye-solutions,3D,USA,FL,Longwood,venture,2008-08-11,2008,"170,000"
3D Eye Solutions,/organization/3d-eye-solutions,3D,USA,FL,Longwood,venture,2010-04-06,2010,"210,000"
3D FUTURE VISION II,/organization/3d-future-vision-ii,Games,USA,FL,Longwood,venture,2011-06-22,2011,"379,000"
3D FUTURE VISION II,/organization/3d-future-vision-ii,Games,USA,FL,Longwood,venture,2013-03-21,2013,"124,000"
3D Robotics,/organization/3d-robotics,Manufacturing,USA,CA,San Diego,A,2012-11-05,2012,"5,000,000"
3D Robotics,/organization/3d-robotics,Manufacturing,USA,CA,San Diego,B,2013-09-12,2013,"30,000,000"
3D Robotics,/organization/3d-robotics,Manufacturing,USA,CA,San Diego,C,2015-02-25,2015,"50,000,000"
3D Sports Technology,/organization/3d-sports-technology,Software,USA,MN,Minneapolis,venture,2011-01-21,2011,"505,000"
3D Sports Technology,/organization/3d-sports-technology,Software,USA,MN,Minneapolis,venture,2012-06-07,2012,"110,000"
3D Sports Technology,/organization/3d-sports-technology,Software,USA,MN,Minneapolis,venture,2013-07-25,2013,"294,940"
3D Systems,/organization/3d-systems,Software,USA,SC,Rock Hill,venture,2014-01-15,2014,"2,000,000"
3D Systems,/organization/3d-systems,Software,USA,SC,Rock Hill,venture,2014-04-16,2014,"17,500,000"
3d Vision Systems,/organization/3d-vision-systems,Hardware + Software,USA,MI,Ann Arbor,venture,2012-12-03,2012,"150,000"
3DBin,/organization/3dbin,E-Commerce,USA,CA,Redwood City,venture,2014-10-12,2014,"400,000"
3dCart Shopping Cart Software,/organization/3dcart-shopping-cart-software,E-Commerce,USA,FL,Lauderhill,angel,2010-01-01,2010,"1,250,000"
3Derm Systems,/organization/3derm-systems,3D,USA,CT,New Haven,venture,2014-12-22,2014,"675,000"
3dplusme,/organization/3dplusme,3D Printing,USA,UT,Salt Lake City,venture,2014-04-06,2014,"200,000"
3dplusme,/organization/3dplusme,3D Printing,USA,UT,Salt Lake City,seed,2014-12-05,2014,"1,800,000"
3DR Laboratories,/organization/3dr-laboratories,Biotechnology,USA,KY,Louisville,venture,2012-08-23,2012,"7,200,000"
3FLOZ,/organization/3floz-com,Health and Wellness,USA,NY,New York,seed,2013-08-16,2013,"750,000"
3FLOZ,/organization/3floz-com,Health and Wellness,USA,NY,New York,venture,2015-01-16,2015,"637,500"
3Guppies,/organization/3guppies,Music,USA,WA,Seattle,A,2006-04-05,2006,"20,000,000"
3Jam,/organization/3jam,Messaging,USA,CA,San Francisco,A,2007-07-01,2007,"4,000,000"
3Leaf,/organization/3leaf,Web Hosting,USA,CA,Santa Clara,A,2005-01-01,2005,"10,000,000"
3Leaf,/organization/3leaf,Web Hosting,USA,CA,Santa Clara,B,2007-04-30,2007,"20,000,000"
3Leaf,/organization/3leaf,Web Hosting,USA,CA,Santa Clara,C,2008-09-22,2008,"35,000,000"
3Pillar Global,/organization/3pillar-global,Software,USA,VA,Fairfax,venture,2010-04-21,2010,"520,000"
3Pillar Global,/organization/3pillar-global,Software,USA,VA,Fairfax,venture,2011-06-09,2011,"10,000,000"
3Pillar Global,/organization/3pillar-global,Software,USA,VA,Fairfax,A,2013-06-06,2013,"12,000,000"
3Play Media,/organization/3play-media,Software,USA,MA,Cambridge,venture,2010-02-08,2010,"450,000"
3Play Media,/organization/3play-media,Software,USA,MA,Cambridge,venture,2011-06-21,2011,"511,601"
3point5.com,/organization/3point5-com,Curated Web,USA,UT,Salt Lake City,B,2006-10-09,2006,"1,500,000"
3scale,/organization/3scale,Developer APIs,USA,CA,San Francisco,seed,2010-04-20,2010,"800,000"
3Scan,/organization/3scan,Biotechnology,USA,CA,San Francisco,A,2014-12-05,2014,"6,673,012"
3seventy,/organization/3seventy,Software,USA,TX,Austin,seed,2011-08-19,2011,"2,000,000"
3TEN8,/organization/3ten8,Software,USA,CA,Santa Clara,seed,2014-09-01,2014,"1,000,000"
