name,crunchlink,category,country,state,city,round,date,year,money,
Instant Information,/organization/instant-information,Software,USA,NY,New York,venture,2010-02-02,2010,"119,999,911"
Instantis,/organization/instantis,Software,USA,CA,Santa Clara,D,2006-05-17,2006,"8,800,000"
Instantly,/organization/instantly,Mobile,USA,CA,Encino,A,2008-04-01,2008,"1,290,000"
Instantly,/organization/instantly,Mobile,USA,CA,Encino,B,2009-01-14,2009,"3,000,000"
Instantly,/organization/instantly,Mobile,USA,CA,Encino,C,2010-06-22,2010,"10,250,000"
Instantly,/organization/instantly,Mobile,USA,CA,Encino,D,2013-07-15,2013,"15,000,000"
Instapage,/organization/instapage-com,Advertising,USA,CA,San Francisco,seed,2011-06-01,2011,"600,000"
Instapio,/organization/instapio,Cloud Computing,USA,CA,Santa Monica,seed,2013-05-29,2013,"150,000"
Instart Logic,/organization/instart-logic,E-Commerce,USA,CA,Palo Alto,A,2012-02-01,2012,"9,000,000"
Instart Logic,/organization/instart-logic,E-Commerce,USA,CA,Palo Alto,B,2013-04-18,2013,"17,000,000"
Instart Logic,/organization/instart-logic,E-Commerce,USA,CA,Palo Alto,C,2014-05-13,2014,"26,000,000"
Instavest,/organization/instavest,Finance Technology,USA,CA,Mountain View,seed,2014-12-01,2014,"120,000"
Insticator,/organization/insticator,Social Games,USA,NY,New York,angel,2014-08-10,2014,"900,000"
Instinctiv,/organization/instinctiv,Consumer Electronics,USA,NY,New York,seed,2008-06-01,2008,"750,000"
Instinctiv,/organization/instinctiv,Consumer Electronics,USA,NY,New York,venture,2010-01-25,2010,"400,002"
InStore Audio Network,/organization/instore-audio-network,Advertising,USA,UT,Salt Lake City,venture,2012-05-31,2012,"12,000,000"
InStore Finance,/organization/instorefinance-com,Finance,USA,OH,Cleveland,seed,2013-06-01,2013,"165,000"
InStream Media,/organization/instream-media,Advertising,USA,MA,Newton,venture,2011-05-26,2011,"1,300,000"
Instructure,/organization/instructure,Enterprise Software,USA,UT,Salt Lake City,A,2010-03-01,2010,"1,100,000"
Instructure,/organization/instructure,Enterprise Software,USA,UT,Salt Lake City,B,2011-04-15,2011,"8,000,000"
Instructure,/organization/instructure,Enterprise Software,USA,UT,Salt Lake City,D,2013-06-05,2013,"30,000,000"
Instructure,/organization/instructure,Enterprise Software,USA,UT,Salt Lake City,E,2015-02-19,2015,"40,000,000"
Insuritas,/organization/insuritas,Finance,USA,CT,East Windsor Hill,A,2012-08-07,2012,"10,000,000"
InSync Software,/organization/insync,Software,USA,CA,San Jose,A,2006-01-01,2006,"7,500,000"
InSync Software,/organization/insync,Software,USA,CA,San Jose,B,2009-10-20,2009,"4,700,000"
InSync Software,/organization/insync,Software,USA,CA,San Jose,C,2010-04-30,2010,"199,999"
Insynctive,/organization/insynctive,Human Resources,USA,CA,Walnut Creek,seed,2011-05-01,2011,"130,000"
Insynctive,/organization/insynctive,Human Resources,USA,CA,Walnut Creek,seed,2012-01-05,2012,"975,000"
Insynctive,/organization/insynctive,Human Resources,USA,CA,Walnut Creek,seed,2012-09-05,2012,"100,000"
Insys Therapeutics,/organization/insys-therapeutics,Biotechnology,USA,AZ,Chandler,venture,2011-03-28,2011,"2,315,006"
Intacct,/organization/intacct,Software,USA,CA,San Jose,B,2006-05-21,2006,"7,000,000"
Intacct,/organization/intacct,Software,USA,CA,San Jose,venture,2007-06-27,2007,"14,000,000"
Intacct,/organization/intacct,Software,USA,CA,San Jose,venture,2008-04-29,2008,"15,000,000"
Intacct,/organization/intacct,Software,USA,CA,San Jose,venture,2010-08-16,2010,"3,000,000"
Intacct,/organization/intacct,Software,USA,CA,San Jose,venture,2011-06-09,2011,"12,300,000"
Intacct,/organization/intacct,Software,USA,CA,San Jose,venture,2012-10-18,2012,"13,500,000"
Intacct,/organization/intacct,Software,USA,CA,San Jose,G,2014-02-18,2014,"30,000,000"
Intact Medical,/organization/intact-medical,Hardware + Software,USA,MA,Framingham,venture,2013-11-13,2013,"4,000,000"
Intact Vascular,/organization/intact-vascular,Health Care,USA,PA,Wayne,A,2012-09-05,2012,"15,500,000"
Intake123,/organization/intake123,Market Research,USA,CO,Denver,seed,2011-05-30,2011,"100,000"
Intarcia Therapeutics,/organization/intarcia-therapeutics,Biotechnology,USA,CA,Hayward,B,2007-03-20,2007,"50,000,000"
Intarcia Therapeutics,/organization/intarcia-therapeutics,Biotechnology,USA,CA,Hayward,venture,2010-05-14,2010,"14,488,394"
Intarcia Therapeutics,/organization/intarcia-therapeutics,Biotechnology,USA,CA,Hayward,B,2010-01-15,2010,"9,026,189"
Intarcia Therapeutics,/organization/intarcia-therapeutics,Biotechnology,USA,CA,Hayward,B,2010-09-08,2010,"5,000,000"
Intarcia Therapeutics,/organization/intarcia-therapeutics,Biotechnology,USA,CA,Hayward,C,2012-11-16,2012,"160,000,000"
Intcomex,/organization/intcomex,Hardware + Software,USA,FL,Miami,venture,2011-04-20,2011,"22,500,000"
Intechra Holdings,/organization/intechra-holdings,Electronics,USA,MS,Ridgeland,B,2005-08-29,2005,"4,000,000"
Intechra Holdings,/organization/intechra-holdings,Electronics,USA,MS,Ridgeland,venture,2006-11-23,2006,"6,500,000"
Intechra Holdings,/organization/intechra-holdings,Electronics,USA,MS,Ridgeland,venture,2006-01-11,2006,"12,000,000"
Intechra Holdings,/organization/intechra-holdings,Electronics,USA,MS,Ridgeland,C,2007-05-23,2007,"30,000,000"
IntegenX,/organization/integenx,Biotechnology,USA,CA,Pleasanton,A,2006-08-29,2006,"4,500,000"
IntegenX,/organization/integenx,Biotechnology,USA,CA,Pleasanton,B,2009-11-12,2009,"18,100,000"
IntegenX,/organization/integenx,Biotechnology,USA,CA,Pleasanton,B,2011-02-03,2011,"15,600,000"
IntegenX,/organization/integenx,Biotechnology,USA,CA,Pleasanton,C,2011-12-13,2011,"40,000,000"
Integra Health Management,/organization/integra-health-management,Health and Wellness,USA,MD,Owings Mills,seed,2013-10-08,2013,"650,000"
Integra Telecom,/organization/integra-telecom,Public Relations,USA,OR,Portland,venture,2009-11-30,2009,"617,000,000"
Integral Ad Science,/organization/integralads,Advertising,USA,NY,New York,A,2009-10-06,2009,"2,500,000"
Integral Ad Science,/organization/integralads,Advertising,USA,NY,New York,B,2010-07-06,2010,"7,250,000"
Integral Ad Science,/organization/integralads,Advertising,USA,NY,New York,C,2012-04-18,2012,"10,000,000"
Integral Ad Science,/organization/integralads,Advertising,USA,NY,New York,D,2014-01-02,2014,"30,000,000"
Integral Vision,/organization/integral-vision,Hardware + Software,USA,MI,Wixom,seed,2011-11-30,2011,"1,504,290"
Integral Wave Technologies,/organization/integral-wave-technologies,Semiconductors,USA,TX,Austin,A,2007-06-08,2007,"16,000,000"
Integrata Security,/organization/integrata-security,Security,USA,MD,Baltimore,seed,2013-01-01,2013,"100,000"
Integrata Security,/organization/integrata-security,Security,USA,MD,Baltimore,seed,2014-01-15,2014,"750,000"
Integrate,/organization/integrate,Software,USA,AZ,Scottsdale,A,2010-12-14,2010,"4,250,000"
Integrate,/organization/integrate,Software,USA,AZ,Scottsdale,B,2012-03-21,2012,"11,000,000"
Integrate,/organization/integrate,Software,USA,AZ,Scottsdale,B,2013-10-22,2013,"7,000,000"
Integrated biometrics,/organization/integrated-biometrics,Homeland Security,USA,SC,Spartanburg,A,2011-09-19,2011,"1,500,000"
Integrated biometrics,/organization/integrated-biometrics,Homeland Security,USA,SC,Spartanburg,C,2013-03-27,2013,"439,500"
Integrated Corporate Health,/organization/integrated-corporate-health,Health and Wellness,USA,PA,Pittsburgh,venture,2013-08-22,2013,"150,000"
Integrated Development Enterprise,/organization/integrated-development-enterprise,Enterprise Software,USA,MA,Concord,venture,2005-01-01,2005,"1,500,000"
Integrated Diagnostics,/organization/integrated-diagnostics,Biotechnology,USA,WA,Seattle,A,2009-10-14,2009,"30,000,000"
Integrated Diagnostics,/organization/integrated-diagnostics,Biotechnology,USA,WA,Seattle,A,2012-02-22,2012,"10,000,000"
Integrated Diagnostics,/organization/integrated-diagnostics,Biotechnology,USA,WA,Seattle,seed,2013-12-10,2013,"300,000"
Integrated Diagnostics,/organization/integrated-diagnostics,Biotechnology,USA,WA,Seattle,seed,2013-09-20,2013,"1,500,000"
Integrated Diagnostics,/organization/integrated-diagnostics,Biotechnology,USA,WA,Seattle,B,2014-04-29,2014,"30,250,000"
Integrated Materials,/organization/integrated-materials,Material Science,USA,CA,Sunnyvale,C,2005-11-29,2005,"8,800,000"
Integrated Media Measurement (IMMI),/organization/immi,Advertising,USA,CA,San Mateo,C,2008-01-25,2008,"25,000,000"
Integrated Medical Management,/organization/integrated-medical-management,Biotechnology,USA,NV,Las Vegas,venture,2013-08-21,2013,"476,000"
Integrated Medical Partners,/organization/integrated-medical-partners,Health Care,USA,WI,Milwaukee,venture,2010-03-03,2010,"1,000,000"
Integrated Medical Partners,/organization/integrated-medical-partners,Health Care,USA,WI,Milwaukee,venture,2010-09-07,2010,"2,000,000"
Integrated Micro-Chromatography Systems,/organization/integrated-micro-chromatography-systems,Biotechnology,USA,SC,Columbia,venture,2013-05-14,2013,"150,000"
Integrated Ordering Systems,/organization/integrated-ordering-systems,Hospitality,USA,UT,Draper,venture,2013-11-27,2013,"750,000"
Integrated Ordering Systems,/organization/integrated-ordering-systems,Hospitality,USA,UT,Draper,venture,2014-09-05,2014,"455,868"
Integrated Solar Analytics Solutions,/organization/integrated-solar-analytics-solutions,Solar,USA,CA,La Canada Flintridge,seed,2013-04-01,2013,"100,000"
Integrated Trade Processing,/organization/integrated-trade-processing,Finance,USA,NY,New York,D,2007-04-09,2007,"9,000,000"
IntegriChain,/organization/integrichain,Software,USA,NJ,Princeton,A,2006-10-11,2006,"2,000,000"
Integrien,/organization/integrien,Enterprise Software,USA,CA,Irvine,A,2005-05-16,2005,"6,500,000"
Integrien,/organization/integrien,Enterprise Software,USA,CA,Irvine,B,2006-06-05,2006,"10,000,000"
Integrien,/organization/integrien,Enterprise Software,USA,CA,Irvine,venture,2009-08-06,2009,"6,508,411"
Integrien,/organization/integrien,Enterprise Software,USA,CA,Irvine,venture,2010-05-11,2010,"8,010,540"
Integrity Digital Solutions,/organization/integrity-digital-solutions,Software,USA,TX,Seminole,venture,2009-06-09,2009,"597,000"
Integrity Digital Solutions,/organization/integrity-digital-solutions,Software,USA,TX,Seminole,venture,2010-07-29,2010,"1,400,000"
Integrity Directional Services,/organization/integrity-directional-services,Industrial,USA,TX,Fort Worth,venture,2014-09-12,2014,"32,333,333"
Integrity Tracking,/organization/integrity-tracking,Mobile,USA,FL,Boca Raton,venture,2011-07-05,2011,"1,305,000"
Integrity Tracking,/organization/integrity-tracking,Mobile,USA,FL,Boca Raton,venture,2012-11-02,2012,"600,000"
Integrys AssetPoint,/organization/integrys-assetpoint,Business Services,USA,SC,Greenville,venture,2008-03-06,2008,"5,500,000"
InteKrin,/organization/interkrin,Biotechnology,USA,CA,Los Altos,C,2008-08-04,2008,"18,500,000"
InteKrin,/organization/interkrin,Biotechnology,USA,CA,Los Altos,venture,2009-04-02,2009,"21,391,923"
InteKrin,/organization/interkrin,Biotechnology,USA,CA,Los Altos,venture,2010-06-14,2010,"2,292,809"
Intela,/organization/intela,Advertising,USA,CO,Boulder,venture,2010-01-18,2010,"7,250,000"
Intelen,/organization/intelen,Clean Technology,USA,NY,New York,seed,2010-09-01,2010,"250,000"
Intelen,/organization/intelen,Clean Technology,USA,NY,New York,angel,2013-04-03,2013,"360,000"
Intelen,/organization/intelen,Clean Technology,USA,NY,New York,angel,2014-05-19,2014,"1,500,000"
IntelePeer,/organization/intelepeer,Unifed Communications,USA,CA,San Mateo,C,2008-11-11,2008,"18,000,000"
IntelePeer,/organization/intelepeer,Unifed Communications,USA,CA,San Mateo,venture,2009-10-06,2009,"4,000,000"
IntelePeer,/organization/intelepeer,Unifed Communications,USA,CA,San Mateo,seed,2011-05-03,2011,"4,102,097"
IntelePeer,/organization/intelepeer,Unifed Communications,USA,CA,San Mateo,venture,2013-06-10,2013,"15,000,000"
InteliCloud,/organization/intelicloud,Web Hosting,USA,CA,Newport Beach,A,2009-04-01,2009,"2,000,000"
InteliCloud,/organization/intelicloud,Web Hosting,USA,CA,Newport Beach,venture,2010-12-16,2010,"2,967,175"
InteliCloud,/organization/intelicloud,Web Hosting,USA,CA,Newport Beach,venture,2011-11-21,2011,"262,212"
InteliCloud,/organization/intelicloud,Web Hosting,USA,CA,Newport Beach,venture,2012-08-16,2012,"1,160,600"
InteliWISE USA,/organization/inteliwise-usa,Artificial Intelligence,USA,CA,Sunnyvale,A,2008-01-01,2008,"2,000,000"
Intelleflex,/organization/intelleflex,Enterprise Software,USA,CA,Santa Clara,C,2007-12-13,2007,"15,500,000"
Intelleflex,/organization/intelleflex,Enterprise Software,USA,CA,Santa Clara,venture,2009-11-02,2009,"8,000,000"
Intelleflex,/organization/intelleflex,Enterprise Software,USA,CA,Santa Clara,A,2010-12-14,2010,"11,500,000"
Intelleflex,/organization/intelleflex,Enterprise Software,USA,CA,Santa Clara,A,2011-09-20,2011,"9,000,000"
Intellia Therapeutics,/organization/intellia-therapeutics,Biotechnology,USA,MA,Cambridge,A,2014-11-18,2014,"15,000,000"
IntelliBatt,/organization/intellibatt,Web Hosting,USA,CA,San Rafael,venture,2012-07-17,2012,"22,000,000"
IntelliCell™ BioSciences,/organization/intellicell-biosciences,Biotechnology,USA,NY,New York,venture,2011-10-11,2011,"340,000"
IntelliCell™ BioSciences,/organization/intellicell-biosciences,Biotechnology,USA,NY,New York,venture,2012-12-03,2012,"375,000"
IntelliCell™ BioSciences,/organization/intellicell-biosciences,Biotechnology,USA,NY,New York,venture,2012-03-27,2012,"2,475,000"
Intellicyt,/organization/intellicyt,Biotechnology,USA,NM,Albuquerque,venture,2013-05-06,2013,"8,000,000"
Intelliden,/organization/intelliden,Software,USA,CA,Menlo Park,D,2005-12-21,2005,"11,000,000"
Intelliden,/organization/intelliden,Software,USA,CA,Menlo Park,venture,2006-01-01,2006,"59,000,000"
Intelliden,/organization/intelliden,Software,USA,CA,Menlo Park,E,2007-05-22,2007,"10,000,000"
IntelliGeneScan,/organization/intelligenescan,Biotechnology,USA,CA,Santa Rosa,venture,2010-07-14,2010,"100,000"
Intelligent Beauty,/organization/intelligent-beauty,Beauty,USA,CA,El Segundo,A,2007-09-18,2007,"12,500,000"
Intelligent Beauty,/organization/intelligent-beauty,Beauty,USA,CA,El Segundo,B,2008-08-01,2008,"30,500,000"
Intelligent Business Entertainment,/organization/intelligent-business-entertainment,Software,USA,MA,Newton,venture,2013-11-14,2013,"1,350,000"
Intelligent Business Entertainment,/organization/intelligent-business-entertainment,Software,USA,MA,Newton,venture,2013-01-23,2013,"4,086,783"
Intelligent Clearing Network,/organization/icn-intelligent-clearing-network,Enterprise Software,USA,CT,New Canaan,venture,2011-03-10,2011,"1,000,000"
Intelligent Clearing Network,/organization/icn-intelligent-clearing-network,Enterprise Software,USA,CT,New Canaan,venture,2012-10-02,2012,"501,416"
"Intelligent Currency Validation Network, Inc.",/organization/intelligent-currency-validation-network-inc,Hardware + Software,USA,MD,Lutherville Timonium,venture,2010-01-14,2010,"144,000"
Intelligent InSites,/organization/intelligent-insites,Software,USA,ND,Fargo,venture,2010-12-06,2010,"5,161,000"
Intelligent Mobile Support,/organization/intelligent-mobile-support,Mobile,USA,OH,Solon,A,2012-02-14,2012,"500,000"
Intelligent Portal Systems,/organization/intelligent-portal-systems,Software,USA,CA,San Jose,venture,2013-12-30,2013,"4,372,930"
Intelligize,/organization/intelligize,Analytics,USA,NY,New York,venture,2010-08-31,2010,"2,090,727"
Intelligize,/organization/intelligize,Analytics,USA,NY,New York,A,2011-05-20,2011,"1,500,000"
Intellihot Green Technologies,/organization/intellihot-green-technologies,Clean Technology,USA,IL,Galesburg,seed,2013-07-11,2013,"250,000"
Intellikine,/organization/intellikine,Biotechnology,USA,CA,La Jolla,B,2007-06-01,2007,"30,000,000"
Intellikine,/organization/intellikine,Biotechnology,USA,CA,La Jolla,B,2009-07-22,2009,"51,000,000"
Intellikine,/organization/intellikine,Biotechnology,USA,CA,La Jolla,venture,2011-10-31,2011,"4,000,000"
IntelliMat,/organization/intellimat,Hardware + Software,USA,VA,Roanoke,A,2006-11-02,2006,"5,000,000"
Intellimedix,/organization/intellimedix,Biotechnology,USA,GA,Atlanta,seed,2015-02-23,2015,"2,300,000"
Intellinote,/organization/intellinote,Social Business,USA,VA,Reston,seed,2013-01-28,2013,"500,000"
Intellinote,/organization/intellinote,Social Business,USA,VA,Reston,A,2014-01-14,2014,"4,300,000"
Intellione,/organization/intellione,Software,USA,GA,Atlanta,venture,2010-02-18,2010,"3,800,000"
intelliPaper,/organization/intellipaper,Finance,USA,WA,Spokane,venture,2015-01-29,2015,"200,000"
Intellipharmaceutics International,/organization/intellipharmaceutics-international,Biotechnology,CAN,ON,Toronto,venture,2011-02-15,2011,"12,000,000"
Intellitactics,/organization/intellitactics,Enterprise Software,USA,VA,Reston,F,2005-10-17,2005,"3,500,000"
Intellitix,/organization/intellitix,Software,CAN,QC,Montréal,A,2011-11-16,2011,"3,000,000"
IntelliWheels,/organization/intelliwheels,Hardware + Software,USA,IL,Champaign,seed,2012-08-16,2012,"500,000"
IntelliWheels,/organization/intelliwheels,Hardware + Software,USA,IL,Champaign,A,2012-10-12,2012,"100,000"
Intelliworks,/organization/intelliworks,CRM,USA,MD,Bethesda,A,2005-02-14,2005,"6,000,000"
Intelliworks,/organization/intelliworks,CRM,USA,MD,Bethesda,B,2006-10-10,2006,"10,000,000"
Intelliworks,/organization/intelliworks,CRM,USA,MD,Bethesda,C,2008-04-07,2008,"4,000,000"
Intelliworks,/organization/intelliworks,CRM,USA,MD,Bethesda,D,2009-04-24,2009,"2,250,000"
Intelliworks,/organization/intelliworks,CRM,USA,MD,Bethesda,venture,2010-07-15,2010,"1,700,000"
Intellocorp,/organization/intellocorp,Enterprise Software,USA,FL,Miami,seed,2012-05-01,2012,"300,000"
Intellon Corporation,/organization/intellon-corporation,Semiconductors,USA,FL,Orlando,venture,2006-12-01,2006,"18,000,000"
Intelomed,/organization/intelomed,Biotechnology,USA,PA,Wexford,venture,2010-01-29,2010,"200,000"
Intelomed,/organization/intelomed,Biotechnology,USA,PA,Wexford,venture,2011-05-25,2011,"2,611,000"
Intelomed,/organization/intelomed,Biotechnology,USA,PA,Wexford,A,2013-09-09,2013,"4,000,000"
Intelomed,/organization/intelomed,Biotechnology,USA,PA,Wexford,venture,2014-07-24,2014,"3,850,000"
Intematix,/organization/intematix,Manufacturing,USA,CA,Fremont,C,2006-11-20,2006,"16,500,000"
Intematix,/organization/intematix,Manufacturing,USA,CA,Fremont,venture,2009-10-16,2009,"4,000,000"
Intematix,/organization/intematix,Manufacturing,USA,CA,Fremont,venture,2010-08-31,2010,"4,000,000"
Intematix,/organization/intematix,Manufacturing,USA,CA,Fremont,venture,2012-03-13,2012,"16,200,000"
IntenseDebate,/organization/intensedebate,Finance,USA,CO,Boulder,angel,2007-10-01,2007,"500,000"
Intensity Analytics Corporation,/organization/intensity-analytics,Enterprise Software,USA,VA,Warrenton,seed,2013-07-24,2013,"3,500,000"
Intensity Therapeutics,/organization/intensity-therapeutics,Biotechnology,USA,CT,Norwalk,venture,2014-02-11,2014,"1,000,000"
Intent,/organization/intent,Psychology,USA,CA,Santa Monica,angel,2008-02-01,2008,"250,000"
Intent Media,/organization/intent-media,Advertising,USA,NY,New York,venture,2007-07-16,2007,"285,000"
Intent Media,/organization/intent-media,Advertising,USA,NY,New York,A,2009-07-20,2009,"8,000,000"
Intent Media,/organization/intent-media,Advertising,USA,NY,New York,B,2011-11-08,2011,"20,000,000"
Intent Media,/organization/intent-media,Advertising,USA,NY,New York,C,2014-07-21,2014,"22,700,000"
Interact Public Safety,/organization/interact-public-safety-systems,Software,USA,NC,Winston Salem,venture,2008-11-19,2008,"28,000,000"
Interact Public Safety,/organization/interact-public-safety-systems,Software,USA,NC,Winston Salem,venture,2012-11-02,2012,"2,500,000"
Interact Public Safety,/organization/interact-public-safety-systems,Software,USA,NC,Winston Salem,venture,2012-01-04,2012,"27,495,114"
Interactions Corporation,/organization/interactions,Speech Recognition,USA,MA,Franklin,D,2010-04-13,2010,"10,450,000"
Interactions Corporation,/organization/interactions,Speech Recognition,USA,MA,Franklin,venture,2011-07-26,2011,"12,000,000"
Interactive Advisory Software,/organization/interactive-advisory-software,Software,USA,NJ,Egg Harbor Township,venture,2008-12-12,2008,"1,000,000"
Interactive Advisory Software,/organization/interactive-advisory-software,Software,USA,NJ,Egg Harbor Township,venture,2010-05-17,2010,"1,932,190"
Interactive Advisory Software,/organization/interactive-advisory-software,Software,USA,NJ,Egg Harbor Township,venture,2010-07-13,2010,"4,689,009"
Interactive Advisory Software,/organization/interactive-advisory-software,Software,USA,NJ,Egg Harbor Township,B,2011-06-30,2011,"5,000,000"
Interactive Fitness,/organization/interactive-fitness,Hardware + Software,USA,CA,Sunnyvale,C,2007-03-16,2007,"9,300,000"
Interactive Fitness,/organization/interactive-fitness,Hardware + Software,USA,CA,Sunnyvale,D,2008-12-08,2008,"14,000,000"
Interactive Fitness,/organization/interactive-fitness,Hardware + Software,USA,CA,Sunnyvale,D,2009-08-19,2009,"6,000,000"
Interactive Mobile Advertising,/organization/interactive-mobile-advertising,Advertising,USA,CT,Norwalk,venture,2010-03-31,2010,"650,142"
Interactive Motion Technologies,/organization/interactive-motion-technologies,Biotechnology,USA,MA,Watertown,seed,2011-04-28,2011,"300,000"
Interactive Performance Solutions,/organization/interactive-performance-solutions,Software,USA,WA,Shoreline,seed,2011-01-01,2011,"400,000"
Interactive Supercomputing,/organization/interactive-supercomputing,Cloud Computing,USA,MA,Waltham,A,2006-01-17,2006,"4,500,000"
Interactive Supercomputing,/organization/interactive-supercomputing,Cloud Computing,USA,MA,Waltham,B,2007-10-24,2007,"11,000,000"
Interactive TKO,/organization/interactive-tko,Software,USA,TX,Dallas,A,2006-01-03,2006,"5,060,000"
Interactive TKO,/organization/interactive-tko,Software,USA,TX,Dallas,B,2007-06-11,2007,"7,500,000"
Interana,/organization/interana,Analytics,USA,CA,Menlo Park,A,2014-10-07,2014,"8,199,999"
Interana,/organization/interana,Analytics,USA,CA,Menlo Park,B,2015-01-21,2015,"20,000,000"
InteraXon,/organization/interaxon,Hardware + Software,CAN,ON,Toronto,seed,2012-03-09,2012,"1,200,000"
InteraXon,/organization/interaxon,Hardware + Software,CAN,ON,Toronto,A,2013-08-15,2013,"6,000,000"
Interbank FX,/organization/interbank-fx,Finance,USA,UT,Salt Lake City,venture,2007-07-19,2007,"40,000,000"
Intercasting,/organization/intercasting,Wireless,USA,CA,San Diego,A,2005-08-09,2005,"5,500,000"
Intercasting,/organization/intercasting,Wireless,USA,CA,San Diego,B,2007-05-07,2007,"12,000,000"
Intercept Pharmaceuticals,/organization/intercept-pharmaceuticals,Biotechnology,USA,NY,New York,B,2010-01-25,2010,"25,000,000"
Intercept Pharmaceuticals,/organization/intercept-pharmaceuticals,Biotechnology,USA,NY,New York,C,2012-08-10,2012,"30,000,000"
interclick,/organization/interclick,Advertising,USA,NY,New York,venture,2009-12-16,2009,"18,100,000"
Intercloud Systems,/organization/intercloud-systems,Analytics,USA,NJ,Red Bank,venture,2013-12-27,2013,"11,625,000"
Intercloud Systems,/organization/intercloud-systems,Analytics,USA,NJ,Red Bank,venture,2014-10-20,2014,"4,345,000"
Intercom,/organization/intercom,Software,USA,CA,San Francisco,seed,2012-01-25,2012,"1,000,000"
Intercom,/organization/intercom,Software,USA,CA,San Francisco,seed,2012-08-01,2012,"750,000"
Intercom,/organization/intercom,Software,USA,CA,San Francisco,A,2013-06-01,2013,"6,000,000"
Intercom,/organization/intercom,Software,USA,CA,San Francisco,B,2014-01-22,2014,"23,000,000"
Interconnect Media Network Systems,/organization/interconnect-media-network-systems,Software,USA,VA,Selma,venture,2013-05-23,2013,"332,000"
"Interface Biologics, Inc.",/organization/interface-biologics,Biotechnology,CAN,ON,Toronto,venture,2008-12-09,2008,"5,000,000"
"Interface Biologics, Inc.",/organization/interface-biologics,Biotechnology,CAN,ON,Toronto,A,2010-01-01,2010,"19,000,000"
"Interface Biologics, Inc.",/organization/interface-biologics,Biotechnology,CAN,ON,Toronto,B,2011-01-11,2011,"7,000,000"
"Interface Biologics, Inc.",/organization/interface-biologics,Biotechnology,CAN,ON,Toronto,venture,2011-12-08,2011,"1,000,000"
Interface Foundry PBC,/organization/interface-foundry,Mobile,USA,NY,New York,seed,2015-01-16,2015,"232,000"
Interface Security Systems,/organization/interface-security-systems,Security,USA,TX,Plano,venture,2009-04-15,2009,"14,560,000"
Interface21,/organization/interface21,Software,USA,CA,San Mateo,A,2007-05-11,2007,"10,000,000"
Interfolio,/organization/interfolio,Education,USA,DC,Washington,venture,2013-05-22,2013,"926,349"
Interior Define,/organization/interior-define,E-Commerce,USA,IL,Carthage,seed,2014-08-08,2014,"1,000,000"
Interlace Medical,/organization/interlace-medical,Health Care,USA,MA,Framingham,C,2009-07-07,2009,"20,000,000"
Interleukin Genetics,/organization/interleukin-genetics,Health and Wellness,USA,MA,Waltham,venture,2012-07-02,2012,"3,000,000"
Interlude,/organization/interlude,Product Development Services,USA,NY,New York,seed,2011-02-01,2011,"3,250,000"
Interlude,/organization/interlude,Product Development Services,USA,NY,New York,B,2013-05-21,2013,"16,000,000"
InterMetro Communications,/organization/intermetro-communications,Web Hosting,USA,CA,Simi Valley,A,2012-10-25,2012,"297,103"
InterMetro Communications,/organization/intermetro-communications,Web Hosting,USA,CA,Simi Valley,B,2014-01-30,2014,"501,000"
InterMetro Communications,/organization/intermetro-communications,Web Hosting,USA,CA,Simi Valley,venture,2014-12-10,2014,"800,000"
Intermolecular,/organization/intermolecular,Semiconductors,USA,CA,San Jose,C,2006-09-20,2006,"27,620,000"
Intermolecular,/organization/intermolecular,Semiconductors,USA,CA,San Jose,D,2009-01-08,2009,"20,000,000"
Intermolecular,/organization/intermolecular,Semiconductors,USA,CA,San Jose,venture,2011-03-10,2011,"14,999,999"
Intern,/organization/intern-inc,Charter Schools,USA,CO,Centennial,angel,2009-01-01,2009,"2,000,000"
International Barrier Technology,/organization/international-barrier-technology,Manufacturing,USA,MN,Watkins,venture,2010-03-19,2010,"259,371"
International Battery,/organization/international-battery,Clean Technology,USA,PA,Allentown,C,2010-05-06,2010,"35,000,000"
International Communications Corp,/organization/international-communications-corp,Communications Infrastructure,USA,CA,Riverside,venture,2014-05-16,2014,"1,575,035"
International Isotopes,/organization/international-isotopes,Advertising,USA,ID,Idaho Falls,venture,2009-10-06,2009,"940,000"
International Isotopes,/organization/international-isotopes,Advertising,USA,ID,Idaho Falls,venture,2010-10-29,2010,"5,815,000"
International Liars Poker Association,/organization/international-liars-poker-association,Games,USA,MO,St Louis,seed,2007-11-01,2007,"1,250,000"
International Network for Outcomes Research(INOR),/organization/international-network-for-outcomes-research-inor,Biotechnology,USA,KY,Lexington,venture,2012-06-05,2012,"800,000"
International Stem Cell Corporation,/organization/international-stem-cell-corporation,Biotechnology,USA,CA,Carlsbad,venture,2014-10-23,2014,"2,500,000"
International ThermoDyne,/organization/international-thermodyne,Energy,USA,NC,Charlotte,venture,2015-01-30,2015,"1,447,500"
Interneer,/organization/interneer,Enterprise Software,USA,CA,Culver City,A,2007-03-11,2007,"1,200,000"
Interneer,/organization/interneer,Enterprise Software,USA,CA,Culver City,angel,2007-06-06,2007,"2,000,000"
Internet Broadcasting,/organization/internet-broadcasting,Curated Web,USA,MN,Saint Paul,venture,2012-04-10,2012,"500,000"
Internet Connectivity Group,/organization/internet-connectivity-group,Hardware + Software,USA,CA,Lake Forest,venture,2009-09-25,2009,"8,233,461"
